ID,AcademicYearCode,AcademicYearCodeNepali,AcademicYearName,AcademicYearNameNepali,Remarks,IsRunning,IsActive
1,2013,2070,2013,२०७०,Y001,0,1
2,2014,2071,2014,२०७१,Y002,0,1
3,2015,2072,2015,२०७२,Y003,0,1
4,2016,2073,2016,२०७३,Y004,0,1
5,2017,2074,2017,२०७४,Y005,0,1
6,2018,2075,2018,२०७५,Y006,0,1
7,2019,2076,2019,२०७६,Y007,0,1
8,2020,2077,2020,२०७७,Y008,0,1
9,2021,2078,2021,२०७८,Y009,0,1
10,2022,2079,2022,२०७९,Y010,0,1
11,2023,2080,2023,२०८०,Y011,1,1
12,2024,2081,2024,२०८१,Y012,1,1
13,2025,2082,2025,२०८२,Y013,1,1
14,2026,2083,2026,२०८३,Y014,1,1
