GradePointID,Grade,ObtainedMark,GradePoint,GradeGroupID
1,F ,1,0,7
2,F ,2,0,7
3,F ,3,0,7
4,F ,4,0,7
5,F ,5,0,7
6,F ,6,0,7
7,F ,7,0,7
8,F ,8,0,7
9,F ,9,0,7
10,F ,10,0,7
11,F ,11,0,7
12,F ,12,0,7
13,F ,13,0,7
14,F ,14,0,7
15,F ,15,0,7
16,F ,16,0,7
17,F ,17,0,7
18,F ,18,0,7
19,F ,19,0,7
20,F ,20,0,7
21,F ,21,0,7
22,F ,22,0,7
23,F ,23,0,7
24,F ,24,0,7
25,F ,25,0,7
26,F ,26,0,7
27,F ,27,0,7
28,F ,28,0,7
29,F ,29,0,7
30,F ,30,0,7
31,F ,31,0,7
32,F ,32,0,7
33,F ,33,0,7
34,F ,34,0,7
35,F ,35,0,7
36,F ,36,0,7
37,F ,37,0,7
38,F ,38,0,7
39,F ,39,0,7
40,F ,40,0,7
41,F ,41,0,7
42,F ,42,0,7
43,F ,43,0,7
44,F ,44,0,7
45,D ,45,1,7
46,D ,46,1,7
47,D ,47,1,7
48,D ,48,1,7
49,D ,49,1,7
50,D+ ,50,1.3,7
51,D+ ,51,1.3,7
52,D+ ,52,1.3,7
53,D+ ,53,1.3,7
54,D+ ,54,1.3,7
55,C- ,55,1.7,7
56,C- ,56,1.7,7
57,C- ,57,1.7,7
58,C- ,58,1.7,7
59,C- ,59,1.7,7
60,C ,60,2,7
61,C ,61,2,7
62,C ,62,2,7
63,C ,63,2,7
64,C ,64,2,7
65,C+ ,65,2.3,7
66,C+ ,66,2.3,7
67,C+ ,67,2.3,7
68,C+ ,68,2.3,7
69,C+ ,69,2.3,7
70,B- ,70,2.7,7
71,B- ,71,2.7,7
72,B- ,72,2.7,7
73,B- ,73,2.7,7
74,B- ,74,2.7,7
75,B ,75,3,7
76,B ,76,3,7
77,B ,77,3,7
78,B ,78,3,7
79,B ,79,3,7
80,B+ ,80,3.3,7
81,B+ ,81,3.3,7
82,B+ ,82,3.3,7
83,B+ ,83,3.3,7
84,B+ ,84,3.3,7
85,A- ,85,3.7,7
86,A- ,86,3.7,7
87,A- ,87,3.7,7
88,A- ,88,3.7,7
89,A- ,89,3.7,7
90,A ,90,4,7
91,A ,91,4,7
92,A ,92,4,7
93,A ,93,4,7
94,A ,94,4,7
95,A ,95,4,7
96,A ,96,4,7
97,A ,97,4,7
98,A ,98,4,7
99,A ,99,4,7
100,A ,100,4,7
101,F ,0,0,7
102,F,1,0,5
103,F,2,0,5
104,F,3,0,5
105,F,4,0,5
106,F,5,0,5
107,F,6,0,5
108,F,7,0,5
109,F,8,0,5
110,F,9,0,5
111,F,10,0,5
112,F,11,0,5
113,F,12,0,5
114,F,13,0,5
115,F,14,0,5
116,F,15,0,5
117,F,16,0,5
118,F,17,0,5
119,F,18,0,5
120,F,19,0,5
121,F,20,0,5
122,F,21,0,5
123,F,22,0,5
124,F,23,0,5
125,F,24,0,5
126,F,25,0,5
127,F,26,0,5
128,F,27,0,5
129,F,28,0,5
130,F,29,0,5
131,F,30,0,5
132,F,31,0,5
133,F,32,0,5
134,F,33,0,5
135,F,34,0,5
136,F,35,0,5
137,F,36,0,5
138,F,37,0,5
139,F,38,0,5
140,F,39,0,5
141,F,40,0,5
142,F,41,0,5
143,F,42,0,5
144,F,43,0,5
145,F,44,0,5
146,F,45,0,5
147,F,46,0,5
148,F,47,0,5
149,F,48,0,5
150,F,49,0,5
151,B- ,50,2.7,5
152,B- ,51,2.7,5
153,B- ,52,2.7,5
154,B- ,53,2.7,5
155,B- ,54,2.7,5
156,B- ,55,2.7,5
157,B- ,56,2.7,5
158,B- ,57,2.7,5
159,B- ,58,2.7,5
160,B- ,59,2.7,5
161,B ,60,3,5
162,B ,61,3,5
163,B ,62,3,5
164,B ,63,3,5
165,B ,64,3,5
166,B ,65,3,5
167,B ,66,3,5
168,B ,67,3,5
169,B ,68,3,5
170,B ,69,3,5
171,B+ ,70,3.3,5
172,B+ ,71,3.3,5
173,B+ ,72,3.3,5
174,B+ ,73,3.3,5
175,B+ ,74,3.3,5
176,B+ ,75,3.3,5
177,B+ ,76,3.3,5
178,B+ ,77,3.3,5
179,B+ ,78,3.3,5
180,B+ ,79,3.3,5
181,A- ,80,3.7,5
182,A- ,81,3.7,5
183,A- ,82,3.7,5
184,A- ,83,3.7,5
185,A- ,84,3.7,5
186,A- ,85,3.7,5
187,A- ,86,3.7,5
188,A- ,87,3.7,5
189,A- ,88,3.7,5
190,A- ,89,3.7,5
191,A ,90,4,5
192,A ,91,4,5
193,A ,92,4,5
194,A ,93,4,5
195,A ,94,4,5
196,A ,95,4,5
197,A ,96,4,5
198,A ,97,4,5
199,A ,98,4,5
200,A ,99,4,5
201,A ,100,4,5
202,F,0,0,5
203,F,1,0,6
204,F,2,0,6
205,F,3,0,6
206,F,4,0,6
207,F,5,0,6
208,F,6,0,6
209,F,7,0,6
210,F,8,0,6
211,F,9,0,6
212,F,10,0,6
213,F,11,0,6
214,F,12,0,6
215,F,13,0,6
216,F,14,0,6
217,F,15,0,6
218,F,16,0,6
219,F,17,0,6
220,F,18,0,6
221,F,19,0,6
222,F,20,0,6
223,F,21,0,6
224,F,22,0,6
225,F,23,0,6
226,F,24,0,6
227,F,25,0,6
228,F,26,0,6
229,F,27,0,6
230,F,28,0,6
231,F,29,0,6
232,F,30,0,6
233,F,31,0,6
234,F,32,0,6
235,F,33,0,6
236,F,34,0,6
237,F,35,0,6
238,F,36,0,6
239,F,37,0,6
240,F,38,0,6
241,F,39,0,6
242,D,40,1,6
243,D,41,1,6
244,D,42,1,6
245,D,43,1,6
246,D,44,1,6
247,D,45,1,6
248,D,46,1,6
249,D,47,1,6
250,D,48,1,6
251,D,49,1,6
252,C,50,2,6
253,C,51,2,6
254,C,52,2,6
255,C,53,2,6
256,C,54,2,6
257,C,55,2,6
258,C,56,2,6
259,C,57,2,6
260,C,58,2,6
261,C,59,2,6
262,C,60,2,6
263,C,61,2,6
264,C,62,2,6
265,C,63,2,6
266,C,64,2,6
267,B,65,3,6
268,B,66,3,6
269,B,67,3,6
270,B,68,3,6
271,B,69,3,6
272,B,70,3,6
273,B,71,3,6
274,B,72,3,6
275,B,73,3,6
276,B,74,3,6
277,B,75,3,6
278,B,76,3,6
279,B,77,3,6
280,B,78,3,6
281,B,79,3,6
282,A ,80,4,6
283,A ,81,4,6
284,A ,82,4,6
285,A ,83,4,6
286,A ,84,4,6
287,A ,85,4,6
288,A ,86,4,6
289,A ,87,4,6
290,A ,88,4,6
291,A ,89,4,6
292,A ,90,4,6
293,A ,91,4,6
294,A ,92,4,6
295,A ,93,4,6
296,A ,94,4,6
297,A ,95,4,6
298,A ,96,4,6
299,A ,97,4,6
300,A ,98,4,6
301,A ,99,4,6
302,A ,100,4,6
303,F,0,0,6
304,F,1,0,3
305,F,2,0,3
306,F,3,0,3
307,F,4,0,3
308,F,5,0,3
309,F,6,0,3
310,F,7,0,3
311,F,8,0,3
312,F,9,0,3
313,F,10,0,3
314,F,11,0,3
315,F,12,0,3
316,F,13,0,3
317,F,14,0,3
318,F,15,0,3
319,F,16,0,3
320,F,17,0,3
321,F,18,0,3
322,F,19,0,3
323,F,20,0,3
324,F,21,0,3
325,F,22,0,3
326,F,23,0,3
327,F,24,0,3
328,F,25,0,3
329,F,26,0,3
330,F,27,0,3
331,F,28,0,3
332,F,29,0,3
333,F,30,0,3
334,F,31,0,3
335,F,32,0,3
336,F,33,0,3
337,F,34,0,3
338,F,35,0,3
339,F,36,0,3
340,F,37,0,3
341,F,38,0,3
342,F,39,0,3
343,F,40,0,3
344,F,41,0,3
345,F,42,0,3
346,F,43,0,3
347,F,44,0,3
348,F,45,0,3
349,F,46,0,3
